City,Country,latitude,longitude,n_incidents,n_kill
Derry,United Kingdom,55.011562,-7.312045,19,19
Brisbane,Australia,-27.470933,153.023502,4,1
Aghalane,Ireland,54.123175,-7.478935,1,2
Kinshasa,Zaire,-4.389166,15.33762,36,173
Brazzaville,People's Republic of the Congo,-4.225356,15.25106,24,47
Lisbon,Portugal,38.722252,-9.139337,73,21
Bonn,West Germany (FRG),50.732674,7.096299,26,3
Algiers,Algeria,36.763763,3.055413,407,1068
Derrydoon,United Kingdom,54.151612,-7.39232,1,1
Arlington,United States,38.878742,-77.100006,12,193
Zaragoza,Spain,41.656285,-0.876533,47,54
San Salvador,El Salvador,13.69288,-89.199161,1562,1019
Monterrey,Mexico,25.673211,-100.309201,8,17
Ballynahone,United Kingdom,54.818983,-6.663403,2,2
Brough,United Kingdom,54.77811,-6.55922,1,1
Finvoy,United Kingdom,55.009511,-6.504562,1,1
Belleek,United Kingdom,54.482055,-8.088244,12,11
Kronberg im Taunus,West Germany (FRG),50.179683,8.508595,3,0
Medellin,Colombia,6.242026,-75.564766,862,747
Killeter,United Kingdom,54.669045,-7.681662,3,4
Dusseldorf,West Germany (FRG),51.213924,6.780691,25,2
Derrylin,United Kingdom,54.190675,-7.562948,7,6
Clonmore,United Kingdom,54.483304,-6.640804,1,1
Bangor,United Kingdom,54.65548,-5.674815,13,7
Lomas de Zamora,Argentina,-34.68631,-58.528473,3,1
Bangkok,Thailand,13.785793,100.560852,220,84
Belturbet,Ireland,54.101906,-7.449668,1,2
New Orleans,United States,29.959986,-90.095187,7,11
Birdstown,Ireland,55.068445,-7.355583,1,2
Santiago de los Caballeros,Dominican Republic,19.45,-70.7,3,0
Feeny,United Kingdom,54.892986,-7.020812,2,1
Ayapel,Colombia,8.312931,-75.142561,1,0
El Bagre,Colombia,7.59417,-74.8119,17,26
Kaiserslautern,West Germany (FRG),49.4447,7.769004,3,1
Cappagh,United Kingdom,54.542956,-6.926293,8,12
Tirrenia,Italy,43.627726,10.291712,1,0
Pueblo,United States,38.26386,-104.612374,2,0
Avellaneda,Argentina,-34.68631,-58.528473,2,1
Alton,United States,38.89086,-90.183834,1,0
Port-au-Prince,Haiti,18.527716,-72.33284,132,259
Nimatabad,Iran,38.011123,46.455958,1,0
Strangford,United Kingdom,54.371772,-5.555976,1,2
Wounded Knee,United States,43.148513,-102.371903,1,2
Khartoum,Sudan,15.500747,32.560083,29,33
Casablanca,Morocco,33.59,-7.61,15,57
Forkhill,United Kingdom,54.081638,-6.448779,17,18
Atucha,Argentina,-33.967423,-59.205877,1,0
Ballygawley,United Kingdom,54.462837,-7.026944,14,13
Union,United States,40.696105,-74.268514,3,0
Portavogie,United Kingdom,54.456438,-5.448951,1,1
Nicosia,Cyprus,35.166718,33.36757,67,30
La Spezia,Italy,44.106737,9.829219,3,0
Sidon,Lebanon,33.550434,35.370964,188,166
San Justo,Argentina,-34.68631,-58.528473,3,0
Deir Al-Zahrani,Lebanon,33.429566,35.45704,1,0
Yokosuka,Japan,35.281341,139.6722,6,0
Kabul,Afghanistan,34.516895,69.147011,738,2493
Guadalajara,Mexico,20.673343,-103.344177,38,15
Aughnacloy,United Kingdom,54.414416,-6.976641,12,6
Omagh,United Kingdom,54.600305,-7.298402,30,65
Valera,Venezuela,9.3125,-70.606944,2,0
Mount Vernon,United States,40.912456,-73.838276,2,2
Cullaville,United Kingdom,54.06149,-6.644365,1,2
Iraklion,Greece,35.329197,25.138667,17,1
Pereira,Colombia,4.814278,-75.694558,45,19
Clogher,United Kingdom,54.409928,-7.172562,6,4
Coleraine,United Kingdom,55.129345,-6.663439,11,8
Glengormley,United Kingdom,54.671804,-5.957181,10,9
Antrim,United Kingdom,54.713382,-6.216761,36,13
Valencia,Spain,39.470239,-0.376805,66,24
Bethesda,United States,38.98637,-77.096919,3,2
Lima,Peru,-11.967368,-76.978462,2367,799
Bochum,West Germany (FRG),51.482917,7.211808,6,0
Crumlin,United Kingdom,54.620693,-6.211765,8,2
Meigh,United Kingdom,54.122472,-6.388859,3,2
Newcastle,United Kingdom,54.208418,-5.891745,19,11
Resistencia,Argentina,-27.451632,-58.986198,4,1
Santiago,Chile,-33.366238,-70.505302,1623,166
Tegucigalpa,Honduras,14.0833,-87.2167,164,59
Bad Kreuznach,West Germany (FRG),49.845939,7.860205,1,0
Avrainville,France,48.56214,2.246488,1,1
Belgrade,Yugoslavia,44.818611,20.468056,31,13
Kampen,West Germany (FRG),54.953947,8.342259,1,0
Moy,United Kingdom,54.446614,-6.690752,13,13
Templepatrick,United Kingdom,54.70333,-6.095585,3,6
Castlederg,United Kingdom,54.72,-7.613401,22,14
Guayaquil,Ecuador,-2.170832,-79.922359,60,13
Christchurch,New Zealand,-43.532054,172.636225,4,0
Hilltown,United Kingdom,54.19404,-6.144144,3,2
Tokyo,Japan,35.689125,139.747742,179,20
Tullyhommon,United Kingdom,54.547617,-7.81769,3,2
Ostia,Italy,41.733244,12.278939,7,0
Belcoo,United Kingdom,54.296399,-7.871465,6,8
Bologna,Italy,44.49419,11.346518,48,99
Lusaka,Zambia,-15.415393,28.284354,30,20
Monchengladbach,West Germany (FRG),51.191261,6.442066,7,0
Ballymena,United Kingdom,54.863117,-6.278343,39,10
Lisburn,United Kingdom,54.515694,-6.055724,55,26
Edison,United States,40.528045,-74.384629,1,2
Boblingen,West Germany (FRG),48.685666,9.015253,3,0
Birmingham,United Kingdom,52.482961,-1.893592,18,25
Killen,United Kingdom,54.673252,-7.627484,14,18
Essen,West Germany (FRG),51.457935,7.014828,11,0
Ballynafeigh,United Kingdom,54.607712,-5.95621,6,6
Hanover,West Germany (FRG),52.372068,9.735686,28,2
Genoa,Italy,44.407062,8.933989,33,7
Bagneux,France,48.798328,2.309902,1,0
Kuala Lumpur,Malaysia,3.138943,101.691315,19,0
Lifford,Ireland,54.83279,-7.481274,1,1
Banbridge,United Kingdom,54.351036,-6.26702,11,2
Segovia,Colombia,7.252404,-74.74053,20,154
Boulogne-Billancourt,France,48.836582,2.23914,2,1
Nuremberg,West Germany (FRG),49.45052,11.08048,8,3
Maracaibo,Venezuela,10.632808,-71.632977,6,0
Villafranca de Ordizia,Spain,43.054198,-2.178116,23,9
Gadsden,United States,33.996195,-85.978282,1,1
Besancon,France,47.237829,6.024054,3,0
Piraeus,Greece,37.942843,23.646916,32,3
Marseilles,France,43.296482,5.36978,58,20
Turin,Italy,45.072731,7.679541,142,18
Cochabamba,Bolivia,-17.382789,-66.166439,29,3
Potrerillos,Argentina,-32.956451,-69.195545,1,0
Macon,France,46.306884,4.828731,2,0
Newtownards,United Kingdom,54.595016,-5.703109,6,4
Azul,Argentina,-36.774967,-59.854038,2,2
Romainville,France,48.885212,2.437678,1,0
